Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,total_active_minutes,sedentary_ratio,activity_level,weekday,is_weekend,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,sleep_efficiency,sleep_level
1503960366,2016-04-12,224,0.140000000596046,0.140000000596046,0,0,0,0.129999995231628,0,0,0,9,32,50,9,0.7804878048780488,Low,Tuesday,Weekday,1,327,346,0.9450867052023122,Low
1624580081,2016-04-12,6627,4.30999994277954,4.30999994277954,0,0,0,4.30999994277954,0,0,0,89,604,706,89,0.8715728715728716,Moderate,Tuesday,Weekday,NA,NA,NA,NA,NA
1844505072,2016-04-12,0,0,0,0,0,0,0,0,0,0,0,426,399,0,1,Low,Tuesday,Weekday,NA,NA,NA,NA,NA
1927972279,2016-04-12,24,0.0199999995529652,0.0199999995529652,0,0,0,0.0199999995529652,0,0,0,3,161,942,3,0.9817073170731707,Low,Tuesday,Weekday,3,750,775,0.967741935483871,High
2022484408,2016-04-12,6717,4.71999979019165,4.71999979019165,0,3.23000001907349,0.219999998807907,1.26999998092651,0,41,5,67,551,1140,113,0.8298192771084337,Moderate,Tuesday,Weekday,NA,NA,NA,NA,NA
2026352035,2016-04-12,1019,0.629999995231628,0.629999995231628,0,0,0,0.629999995231628,0,0,0,64,223,600,64,0.7770034843205574,Low,Tuesday,Weekday,1,503,546,0.9212454212454212,High
2320127002,2016-04-12,2098,1.4099999666214,1.4099999666214,0,0,0,1.4099999666214,0,0,0,69,617,790,69,0.8994169096209913,Low,Tuesday,Weekday,NA,NA,NA,NA,NA
2347167796,2016-04-12,0,0,0,0,0,0,0,0,0,0,0,425,399,0,1,Low,Tuesday,Weekday,NA,NA,NA,NA,NA
2873212765,2016-04-12,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,1,Low,Tuesday,Weekday,NA,NA,NA,NA,NA
3977333714,2016-04-12,759,0.569999992847443,0.569999992847443,0,0,0,0.569999992847443,0,0,0,17,187,182,17,0.9166666666666666,Low,Tuesday,Weekday,1,274,469,0.5842217484008528,Low
4020332650,2016-04-12,8,0.00999999977648258,0.00999999977648258,0,0,0,0.00999999977648258,0,0,0,1,321,446,1,0.9968944099378882,Low,Tuesday,Weekday,1,501,541,0.9260628465804066,High
4057192912,2016-04-12,187,0.140000000596046,0.140000000596046,0,0,0,0.140000000596046,0,0,0,11,400,538,11,0.9732360097323601,Low,Tuesday,Weekday,NA,NA,NA,NA,NA
4445114986,2016-04-12,278,0.189999997615814,0.189999997615814,0,0,0,0.189999997615814,0,0,0,20,253,745,20,0.9267399267399268,Low,Tuesday,Weekday,2,429,457,0.9387308533916849,Moderate
4558609924,2016-04-12,1260,0.829999983310699,0.829999983310699,0,0,0,0.819999992847443,0,0,0,76,555,722,76,0.8795562599049128,Low,Tuesday,Weekday,NA,NA,NA,NA,NA
4702921684,2016-04-12,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,1,Low,Tuesday,Weekday,1,425,439,0.9681093394077449,Moderate
5553957443,2016-04-12,3436,2.24000000953674,2.24000000953674,0,0.5,0.670000016689301,1.04999995231628,0,7,11,50,61,633,68,0.4728682170542636,Low,Tuesday,Weekday,1,441,464,0.9504310344827587,Moderate
6962181067,2016-04-12,5893,3.90000009536743,3.90000009536743,0,2.88000011444092,0.560000002384186,0.46000000834465,0,43,9,48,146,917,100,0.5934959349593496,Moderate,Tuesday,Weekday,1,366,387,0.9457364341085271,Moderate
7007744171,2016-04-12,7413,5.76999998092651,4.96000003814697,4.8697829246521,4.5,0.340000003576279,0.939999997615814,0,53,6,43,405,1023,102,0.7988165680473372,Moderate,Tuesday,Weekday,NA,NA,NA,NA,NA
7086361926,2016-04-12,430,0.259999990463257,0.259999990463257,0,0,0,0.259999990463257,0,0,0,14,75,625,14,0.8426966292134831,Low,Tuesday,Weekday,1,514,525,0.97904761904761906,High
8053475328,2016-04-12,290,0.209999993443489,0.209999993443489,0,0,0,0.209999993443489,0,0,0,16,599,791,16,0.9739837398373984,Low,Tuesday,Weekday,NA,NA,NA,NA,NA
8253242879,2016-04-12,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,1,Low,Tuesday,Weekday,NA,NA,NA,NA,NA
8378563200,2016-04-12,3246,2.5699999332428,2.5699999332428,2.25308108329773,0.829999983310699,0.709999978542328,1.02999997138977,0,65,15,49,243,1882,129,0.6532258064516129,Low,Tuesday,Weekday,1,338,356,0.949438202247191,Low
8792009665,2016-04-12,20,0.00999999977648258,0.00999999977648258,0,0,0,0.00999999977648258,0,0,0,6,598,728,6,0.9900662251655629,Low,Tuesday,Weekday,1,458,493,0.9290060851926978,Moderate
8877689391,2016-04-12,2350,1.77999997138977,1.77999997138977,0,0,0,1.77999997138977,0,0,0,58,531,938,58,0.9015280135823429,Low,Tuesday,Weekday,NA,NA,NA,NA,NA
1503960366,2016-04-12,13162,8.5,8.5,0,1.87999999523163,0.550000011920929,6.05999994277954,0,25,13,328,728,1985,366,0.6654478976234004,High,Tuesday,Weekday,1,327,346,0.9450867052023122,Low
1503960366,2016-04-13,10735,6.96999979019165,6.96999979019165,0,1.57000005245209,0.689999997615814,4.71000003814697,0,21,19,217,776,1797,257,0.7512100677637947,High,Wednesday,Weekday,2,384,407,0.9434889434889435,Moderate
1503960366,2016-04-14,10460,6.73999977111816,6.73999977111816,0,2.44000005722046,0.400000005960464,3.91000008583069,0,30,11,181,1218,1776,222,0.8458333333333333,High,Thursday,Weekday,NA,NA,NA,NA,NA
1503960366,2016-04-15,9762,6.28000020980835,6.28000020980835,0,2.14000010490417,1.25999999046326,2.82999992370605,0,29,34,209,726,1745,272,0.7274549098196392,Moderate,Friday,Weekday,1,412,442,0.9321266968325792,Moderate
1503960366,2016-04-16,12669,8.15999984741211,8.15999984741211,0,2.71000003814697,0.409999996423721,5.03999996185303,0,36,10,221,773,1863,267,0.7432692307692308,High,Saturday,Weekend,2,340,367,0.9264305177111717,Low
1503960366,2016-04-17,9705,6.48000001907349,6.48000001907349,0,3.19000005722046,0.779999971389771,2.50999999046326,0,38,20,164,539,1728,222,0.7082785808147175,Moderate,Sunday,Weekend,1,700,712,0.9831460674157303,High
1503960366,2016-04-18,13019,8.59000015258789,8.59000015258789,0,3.25,0.639999985694885,4.71000003814697,0,42,16,233,1149,1921,291,0.7979166666666667,High,Monday,Weekday,NA,NA,NA,NA,NA
1503960366,2016-04-19,15506,9.88000011444092,9.88000011444092,0,3.52999997138977,1.32000005245209,5.03000020980835,0,50,31,264,775,2035,345,0.6919642857142857,High,Tuesday,Weekday,1,304,320,0.95,Low
1503960366,2016-04-20,10544,6.67999982833862,6.67999982833862,0,1.96000003814697,0.479999989271164,4.23999977111816,0,28,12,205,818,1786,245,0.7695202257761053,High,Wednesday,Weekday,1,360,377,0.9549071618037135,Moderate
1503960366,2016-04-21,9819,6.34000015258789,6.34000015258789,0,1.3400000333786,0.349999994039536,4.65000009536743,0,19,8,211,838,1775,238,0.7788104089219331,Moderate,Thursday,Weekday,1,325,364,0.8928571428571429,Low
1503960366,2016-04-22,12764,8.13000011444092,8.13000011444092,0,4.76000022888184,1.12000000476837,2.24000000953674,0,66,27,130,1217,1827,223,0.8451388888888889,High,Friday,Weekday,NA,NA,NA,NA,NA
1503960366,2016-04-23,14371,9.03999996185303,9.03999996185303,0,2.80999994277954,0.870000004768372,5.3600001335144,0,41,21,262,732,1949,324,0.6931818181818182,High,Saturday,Weekend,1,361,384,0.9401041666666666,Moderate
1503960366,2016-04-24,10039,6.40999984741211,6.40999984741211,0,2.92000007629395,0.209999993443489,3.27999997138977,0,39,5,238,709,1788,282,0.715438950554995,High,Sunday,Weekend,1,430,449,0.9576837416481069,Moderate
1503960366,2016-04-25,15355,9.80000019073486,9.80000019073486,0,5.28999996185303,0.569999992847443,3.94000005722046,0,73,14,216,814,2013,303,0.7287376902417189,High,Monday,Weekday,1,277,323,0.8575851393188855,Low
1503960366,2016-04-26,13755,8.78999996185303,8.78999996185303,0,2.32999992370605,0.920000016689301,5.53999996185303,0,31,23,279,833,1970,333,0.7144082332761578,High,Tuesday,Weekday,1,245,274,0.8941605839416058,Low
1503960366,2016-04-27,18134,12.210000038147,12.210000038147,0,6.40000009536743,0.409999996423721,5.40999984741211,0,78,11,243,1108,2159,332,0.7694444444444445,High,Wednesday,Weekday,NA,NA,NA,NA,NA
1503960366,2016-04-28,13154,8.52999973297119,8.52999973297119,0,3.53999996185303,1.1599999666214,3.78999996185303,0,48,28,189,782,1898,265,0.7468958930276982,High,Thursday,Weekday,1,366,393,0.9312977099236641,Moderate
1503960366,2016-04-29,11181,7.15000009536743,7.15000009536743,0,1.05999994277954,0.5,5.57999992370605,0,16,12,243,815,1837,271,0.7504604051565378,High,Friday,Weekday,1,341,354,0.963276836158192,Low
1503960366,2016-04-30,14673,9.25,9.25,0,3.55999994277954,1.41999995708466,4.26999998092651,0,52,34,217,712,1947,303,0.7014778325123153,High,Saturday,Weekend,1,404,425,0.9505882352941176,Moderate
1503960366,2016-05-01,10602,6.80999994277954,6.80999994277954,0,2.28999996185303,1.60000002384186,2.92000007629395,0,33,35,246,730,1820,314,0.6992337164750958,High,Sunday,Weekend,1,369,396,0.9318181818181818,Moderate
1503960366,2016-05-02,14727,9.71000003814697,9.71000003814697,0,3.21000003814697,0.569999992847443,5.92000007629395,0,41,15,277,798,2004,333,0.7055702917771883,High,Monday,Weekday,1,277,309,0.8964401294498382,Low
1503960366,2016-05-03,15103,9.65999984741211,9.65999984741211,0,3.73000001907349,1.04999995231628,4.88000011444092,0,50,24,254,816,1990,328,0.7132867132867133,High,Tuesday,Weekday,1,273,296,0.9222972972972973,Low
1503960366,2016-05-04,11100,7.15000009536743,7.15000009536743,0,2.46000003814697,0.870000004768372,3.8199999332428,0,36,22,203,1179,1819,261,0.81875,High,Wednesday,Weekday,NA,NA,NA,NA,NA
1503960366,2016-05-05,14070,8.89999961853027,8.89999961853027,0,2.92000007629395,1.08000004291534,4.88000011444092,0,45,24,250,857,1959,319,0.7287414965986394,High,Thursday,Weekday,1,247,264,0.9356060606060606,Low
1503960366,2016-05-06,12159,8.02999973297119,8.02999973297119,0,1.97000002861023,0.25,5.80999994277954,0,24,6,289,754,1896,319,0.7027027027027027,High,Friday,Weekday,1,334,367,0.9100817438692098,Low
1503960366,2016-05-07,11992,7.71000003814697,7.71000003814697,0,2.46000003814697,2.11999988555908,3.13000011444092,0,37,46,175,833,1821,258,0.763519706691109,High,Saturday,Weekend,1,331,349,0.9484240687679083,Low
1503960366,2016-05-08,10060,6.57999992370605,6.57999992370605,0,3.52999997138977,0.319999992847443,2.73000001907349,0,44,8,203,574,1740,255,0.6924004825090471,High,Sunday,Weekend,1,594,611,0.972176759410802,High
1503960366,2016-05-09,12022,7.71999979019165,7.71999979019165,0,3.45000004768372,0.529999971389771,3.74000000953674,0,46,11,206,835,1819,263,0.7604735883424408,High,Monday,Weekday,1,338,342,0.9883040935672515,Low
1503960366,2016-05-10,12207,7.76999998092651,7.76999998092651,0,3.34999990463257,1.1599999666214,3.25999999046326,0,46,31,214,746,1859,291,0.7193828351012537,High,Tuesday,Weekday,1,383,403,0.9503722084367245,Moderate
1503960366,2016-05-11,12770,8.13000011444092,8.13000011444092,0,2.55999994277954,1.00999999046326,4.55000019073486,0,36,23,251,669,1783,310,0.6833503575076609,High,Wednesday,Weekday,1,285,306,0.9313725490196079,Low
1503960366,2016-05-12,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,1,Low,Thursday,Weekday,NA,NA,NA,NA,NA
1624580081,2016-04-12,8163,5.30999994277954,5.30999994277954,0,0,0,5.30999994277954,0,0,0,146,1294,1432,146,0.8986111111111111,Moderate,Tuesday,Weekday,NA,NA,NA,NA,NA
